src,dst,weight
Penn Station/Madison Sq West,Woodhaven,30
East Village,Crotona Park East,11
Inwood,Upper East Side South,4
Van Cortlandt Village,Elmhurst/Maspeth,1
LaGuardia Airport,Newark Airport,128
NA,Upper West Side South,6
West Chelsea/Hudson Yards,Morrisania/Melrose,12
Washington Heights North,Steinway,5
Manhattanville,Steinway,5
East New York,Marine Park/Mill Basin,1
East New York,World Trade Center,2
Midtown North,Columbia Street,18
Eastchester,Woodlawn/Wakefield,1
East Village,Grymes Hill/Clifton,1
Inwood,Midtown South,5
Financial District South,Glendale,6
South Ozone Park,SoHo,5
Hamilton Heights,Newark Airport,7
Clinton East,Arden Heights,4
Elmhurst,Sutton Place/Turtle Bay North,11
Corona,East Flushing,1
Park Slope,Madison,6
Washington Heights South,Downtown Brooklyn/MetroTech,2
Washington Heights North,Belmont,2
Jamaica,Saint Albans,6
East Concourse/Concourse Village,Washington Heights North,3
Central Park,Williamsbridge/Olinville,2
Gowanus,Upper East Side North,1
Midtown Center,Bloomfield/Emerson Hill,3
East Tremont,West Farms/Bronx River,4
Old Astoria,Van Cortlandt Village,1
Westchester Village/Unionport,Schuylerville/Edgewater Park,4
Co-Op City,West Farms/Bronx River,1
Crown Heights North,Marine Park/Mill Basin,4
Brooklyn Navy Yard,NA,2
Financial District South,Fresh Meadows,5
Dyker Heights,Union Sq,1
Bedford,Elmhurst,2
Dyker Heights,Bath Beach,3
Jamaica,East Elmhurst,2
Bloomingdale,Roosevelt Island,1
Mott Haven/Port Morris,Steinway,1
Marble Hill,Clinton East,1
East Harlem North,Bellerose,1
Lenox Hill West,Brownsville,4
Gramercy,Arrochar/Fort Wadsworth,2
Cambria Heights,LaGuardia Airport,1
Sunset Park East,TriBeCa/Civic Center,1
Woodhaven,Norwood,1
Midtown Center,Forest Park/Highland Park,2
Hudson Sq,Cypress Hills,2
Kensington,Kips Bay,1
Glendale,Old Astoria,1
Stuy Town/Peter Cooper Village,Flushing Meadows-Corona Park,1
Clinton East,Sunset Park West,139
Yorkville West,Upper West Side North,4839
West Chelsea/Hudson Yards,Garment District,4428
Midtown North,Sutton Place/Turtle Bay North,6292
East Harlem South,Yorkville East,1685
Greenpoint,Williamsburg (North Side),611
East Village,Bushwick North,774
Penn Station/Madison Sq West,Sutton Place/Turtle Bay North,5040
Clinton West,Long Island City/Queens Plaza,46
Manhattanville,Sutton Place/Turtle Bay North,19
East New York/Pennsylvania Avenue,East New York/Pennsylvania Avenue,25
LaGuardia Airport,Central Harlem,1454
Old Astoria,Lower East Side,30
JFK Airport,North Corona,247
East Village,Fort Greene,869
Greenwich Village North,Chinatown,650
Little Italy/NoLiTa,Seaport,908
Kips Bay,Williamsburg (South Side),287
Park Slope,Meatpacking/West Village West,36
Lenox Hill West,West Village,827
Sunnyside,Clinton West,47
Financial District North,Boerum Hill,312
Chinatown,Battery Park,44
JFK Airport,Cambria Heights,364
LaGuardia Airport,Fordham South,22
Cobble Hill,Park Slope,368
Yorkville West,Williamsburg (South Side),135
Financial District North,Upper West Side South,370
Greenwich Village South,Whitestone,5
Gowanus,Williamsburg (North Side),23
Astoria,Carroll Gardens,2
Stuyvesant Heights,Fort Greene,37
Williamsburg (South Side),Astoria,68
Baisley Park,Lower East Side,23
Clinton West,Red Hook,15
Upper East Side North,Woodside,105
Upper East Side South,Maspeth,83
Central Harlem,Corona,3
Union Sq,Gowanus,135
Hillcrest/Pomonok,Elmhurst,1
Mott Haven/Port Morris,Crotona Park East,13
Erasmus,Lower East Side,2
East Tremont,West Concourse,2
Greenwich Village South,Midwood,33
Sutton Place/Turtle Bay North,Flushing,34
Clinton Hill,Prospect-Lefferts Gardens,53
Flatlands,Bedford,2
Little Italy/NoLiTa,Ocean Hill,27
Clinton West,Crown Heights South,14
Crown Heights North,Long Island City/Hunters Point,7
Crown Heights North,LaGuardia Airport,11
Midtown North,Soundview/Bruckner,15
Upper East Side North,Woodlawn/Wakefield,20
Sunset Park West,Bushwick South,2
Ridgewood,Woodside,4
Bedford,Richmond Hill,2
Williamsburg (North Side),SoHo,45
Old Astoria,Boerum Hill,4
Morningside Heights,East Concourse/Concourse Village,43
Mount Hope,Parkchester,2
Mount Hope,East Concourse/Concourse Village,8
Financial District South,Astoria Park,1
Sutton Place/Turtle Bay North,Woodhaven,27
Spuyten Duyvil/Kingsbridge,Washington Heights North,13
Battery Park City,Astoria,58
Steinway,West Chelsea/Hudson Yards,4
Mott Haven/Port Morris,West Farms/Bronx River,9
Yorkville East,Sunset Park West,17
Brooklyn Heights,Lenox Hill West,37
Brooklyn Heights,Kew Gardens,3
East Harlem South,Sunset Park East,3
East Harlem South,Spuyten Duyvil/Kingsbridge,26
Morningside Heights,Allerton/Pelham Gardens,4
Garment District,Marble Hill,8
Clinton West,Co-Op City,6
Manhattan Valley,Williamsburg (South Side),12
Upper West Side South,Prospect Park,4
Mott Haven/Port Morris,Upper West Side North,8
Brooklyn Heights,Upper West Side North,18
Chinatown,East Concourse/Concourse Village,15
Bloomingdale,West Farms/Bronx River,5
Carroll Gardens,Seaport,12
Bloomingdale,Van Nest/Morris Park,2
Battery Park,Brighton Beach,1
Flushing Meadows-Corona Park,Penn Station/Madison Sq West,20
West Chelsea/Hudson Yards,Corona,16
Midtown South,South Jamaica,6
Spuyten Duyvil/Kingsbridge,Washington Heights South,4
Midtown East,Stapleton,6
Battery Park City,Soundview/Castle Hill,1
SoHo,City Island,4
Midwood,Queensboro Hill,1
Midtown South,Forest Park/Highland Park,6
Brooklyn Navy Yard,Yorkville West,1
Central Harlem,Forest Hills,10
Old Astoria,Two Bridges/Seward Park,9
Lincoln Square West,East Flatbush/Farragut,3
West Village,Fresh Meadows,2
East Village,Eastchester,3
Baisley Park,Alphabet City,7
Clinton Hill,Midtown South,6
Astoria,Crotona Park East,3
Bath Beach,Bensonhurst West,3
Battery Park City,Prospect Park,14
Upper East Side North,Fresh Meadows,4
World Trade Center,Schuylerville/Edgewater Park,3
LaGuardia Airport,Arden Heights,2
Springfield Gardens South,Clinton West,3
Bronx Park,Times Sq/Theatre District,1
Lincoln Square East,Claremont/Bathgate,8
Corona,World Trade Center,2
UN/Turtle Bay South,Country Club,3
Kips Bay,Randalls Island,1
Downtown Brooklyn/MetroTech,Corona,1
East Harlem North,East Williamsburg,4
Cypress Hills,Crown Heights South,1
Central Park,Eastchester,1
Kips Bay,City Island,1
Jackson Heights,Saint Albans,2
Westchester Village/Unionport,Bronxdale,2
Penn Station/Madison Sq West,Bloomfield/Emerson Hill,2
NA,East Flushing,1
Old Astoria,Parkchester,1
Kingsbridge Heights,Two Bridges/Seward Park,1
Jamaica Estates,East Village,1
Sunset Park West,Marine Park/Mill Basin,1
East New York,East Williamsburg,1
West Village,Flushing Meadows-Corona Park,1
Middle Village,East New York,1
Manhattanville,Chinatown,1
Kips Bay,Times Sq/Theatre District,1898
Gramercy,Union Sq,11547
Clinton East,Union Sq,6393
NV,Lincoln Square West,286
Old Astoria,Queensbridge/Ravenswood,531
Garment District,Central Harlem,538
Kips Bay,Claremont/Bathgate,11
Manhattanville,Upper West Side North,456
Chinatown,Sunnyside,25
Greenwich Village South,Yorkville East,618
Hamilton Heights,Central Park,66
Financial District South,Midtown North,369
Midtown South,Upper West Side North,1395
East Harlem South,Sunnyside,75
Two Bridges/Seward Park,Sutton Place/Turtle Bay North,179
Lower East Side,Mott Haven/Port Morris,67
Murray Hill,West Farms/Bronx River,18
LaGuardia Airport,Garment District,3316
West Village,Windsor Terrace,131
Hudson Sq,Central Park,155
East Chelsea,Mount Hope,24
Sutton Place/Turtle Bay North,West Chelsea/Hudson Yards,1106
East Harlem North,Parkchester,35
Williamsburg (South Side),Upper West Side South,22
Stuy Town/Peter Cooper Village,Downtown Brooklyn/MetroTech,68
East Harlem South,Financial District North,138
Union Sq,Chinatown,681
Two Bridges/Seward Park,Park Slope,141
Long Island City/Hunters Point,Lincoln Square West,19
Sutton Place/Turtle Bay North,Battery Park City,865
East Elmhurst,NA,144
Meatpacking/West Village West,Prospect-Lefferts Gardens,61
JFK Airport,Marine Park/Floyd Bennett Field,38
Washington Heights South,Westchester Village/Unionport,7
Midtown East,Dyker Heights,38
Williamsburg (South Side),Brooklyn Heights,74
Upper West Side North,Allerton/Pelham Gardens,6
Kips Bay,Pelham Bay,4
Midtown East,Schuylerville/Edgewater Park,19
East Harlem South,Norwood,22
Two Bridges/Seward Park,Bloomingdale,14
Two Bridges/Seward Park,Windsor Terrace,22
Jamaica,Ridgewood,5
UN/Turtle Bay South,Bedford Park,25
Ocean Hill,Coney Island,1
Steinway,Bayside,7
Midtown South,Auburndale,6
Central Harlem,College Point,1
Kingsbridge Heights,NA,3
Belmont,Longwood,1
Midtown South,Woodhaven,18
Spuyten Duyvil/Kingsbridge,Manhattanville,4
Times Sq/Theatre District,Melrose South,74
Jackson Heights,Brooklyn Heights,13
Williamsburg (North Side),Brownsville,9
Financial District South,Soundview/Bruckner,4
LaGuardia Airport,Glendale,103
Baisley Park,East Chelsea,28
Midtown Center,Longwood,15
Cobble Hill,Yorkville East,11
West Village,West Farms/Bronx River,11
Garment District,Auburndale,8
Brownsville,West Chelsea/Hudson Yards,1
Sutton Place/Turtle Bay North,Glen Oaks,4
Fort Greene,LaGuardia Airport,40
East Harlem South,Woodside,43
Hamilton Heights,Battery Park City,43
Jackson Heights,Borough Park,2
Howard Beach,Marine Park/Mill Basin,1
Battery Park City,South Ozone Park,15
Rosedale,Rosedale,10
Flushing Meadows-Corona Park,Lincoln Square West,4
Middle Village,Astoria,3
Penn Station/Madison Sq West,Inwood Hill Park,6
Baisley Park,Lenox Hill West,18
Prospect-Lefferts Gardens,Clinton West,4
Richmond Hill,Upper East Side South,2
West Chelsea/Hudson Yards,Kensington,21
Roosevelt Island,West Village,2
Kips Bay,Auburndale,6
Two Bridges/Seward Park,Flatlands,5
Old Astoria,TriBeCa/Civic Center,18
Lincoln Square West,Van Cortlandt Park,2
Two Bridges/Seward Park,Kew Gardens,6
Fort Greene,Van Cortlandt Village,2
Woodhaven,Jackson Heights,2
South Jamaica,Central Harlem North,5
Ozone Park,Baisley Park,1
Saint Albans,NV,1
Lincoln Square East,Brooklyn Navy Yard,7
Greenwich Village South,Flushing Meadows-Corona Park,5
Flatiron,East Flushing,2
Brooklyn Heights,Flatlands,3
South Jamaica,Sutton Place/Turtle Bay North,5
Battery Park,East Flatbush/Farragut,2
Seaport,East Concourse/Concourse Village,6
Greenpoint,Canarsie,1
Financial District South,Bellerose,1
Midtown South,Allerton/Pelham Gardens,4
Sunnyside,University Heights/Morris Heights,3
Old Astoria,Longwood,1
Jackson Heights,World Trade Center,2
Springfield Gardens South,World Trade Center,5
Jamaica Estates,Rego Park,2
Central Park,Soundview/Bruckner,2
Upper West Side North,Springfield Gardens South,2
Financial District North,Astoria Park,2
Forest Hills,Glen Oaks,2
Red Hook,UN/Turtle Bay South,2
Seaport,Eltingville/Annadale/Prince's Bay,1
Prospect-Lefferts Gardens,Upper West Side North,1
Bedford,Dyker Heights,1
Elmhurst,Springfield Gardens South,3
South Ozone Park,Middle Village,1
Sunset Park East,Soundview/Castle Hill,1
Astoria,Williamsbridge/Olinville,1
Sutton Place/Turtle Bay North,Sunnyside,860
Springfield Gardens South,Upper East Side South,2
Lower East Side,Financial District North,2761
Lincoln Square West,Clinton East,5476
LaGuardia Airport,Woodside,916
Ocean Hill,Ocean Hill,46
Queensbridge/Ravenswood,Long Island City/Hunters Point,554
Lincoln Square East,Penn Station/Madison Sq West,4428
Washington Heights South,Clinton West,79
Elmhurst,Flatiron,6
Lenox Hill West,Elmhurst/Maspeth,101
Midtown Center,Battery Park,152
Yorkville West,Midtown East,4879
Upper East Side North,Central Harlem,2831
Manhattan Valley,UN/Turtle Bay South,252
Queensbridge/Ravenswood,East Harlem North,37
Astoria,Seaport,8
Hamilton Heights,Union Sq,87
Sutton Place/Turtle Bay North,Crown Heights North,81
Rosedale,Laurelton,1
LaGuardia Airport,Kew Gardens Hills,391
Hudson Sq,Manhattan Beach,1
Brooklyn Heights,Williamsburg (North Side),127
Greenwich Village North,Financial District North,1477
Central Harlem North,Astoria,28
Yorkville East,Battery Park,16
Union Sq,Crown Heights North,483
Lower East Side,Jamaica,17
JFK Airport,Eltingville/Annadale/Prince's Bay,15
Forest Hills,Union Sq,6
Lincoln Square East,Downtown Brooklyn/MetroTech,103
Battery Park City,Bay Ridge,101
Stuy Town/Peter Cooper Village,Lincoln Square West,52
Midtown North,Dyker Heights,21
Lincoln Square East,Boerum Hill,98
Midtown Center,Jackson Heights,282
Old Astoria,Lenox Hill East,94
Central Harlem,East Tremont,24
Maspeth,Woodside,18
Upper East Side South,North Corona,39
Borough Park,Greenpoint,1
Bushwick South,Columbia Street,3
Lincoln Square East,NV,242
Murray Hill,South Williamsburg,146
Long Island City/Queens Plaza,Kensington,2
Two Bridges/Seward Park,Roosevelt Island,4
Manhattanville,Riverdale/North Riverdale/Fieldston,11
Midtown South,Longwood,16
Midtown Center,North Corona,37
Central Harlem,Downtown Brooklyn/MetroTech,8
Brownsville,East New York,11
Williamsburg (North Side),Times Sq/Theatre District,46
Upper East Side South,Jamaica Estates,20
Penn Station/Madison Sq West,Forest Park/Highland Park,3
Lower East Side,Springfield Gardens North,5
JFK Airport,Astoria Park,11
Cobble Hill,Prospect Park,7
LaGuardia Airport,West Concourse,104
Red Hook,Clinton East,3
LaGuardia Airport,Ozone Park,39
Seaport,University Heights/Morris Heights,2
NA,JFK Airport,13
East Flushing,North Corona,1
Union Sq,Allerton/Pelham Gardens,4
Clinton East,Howard Beach,12
World Trade Center,Williamsbridge/Olinville,1
Prospect Park,Fort Greene,14
Steinway,NV,11
Columbia Street,Little Italy/NoLiTa,5
Marble Hill,Manhattanville,1
Windsor Terrace,Lower East Side,2
Union Sq,Middle Village,52
Sutton Place/Turtle Bay North,Sheepshead Bay,18
Red Hook,Two Bridges/Seward Park,3
Corona,Oakland Gardens,1
Cypress Hills,East Village,3
Sunnyside,Inwood Hill Park,3
Canarsie,Richmond Hill,1
Garment District,Sheepshead Bay,7
Midtown South,Co-Op City,5
Sunnyside,Bay Ridge,5
North Corona,East Williamsburg,1
Flushing Meadows-Corona Park,Sunnyside,2
East Flatbush/Remsen Village,Sunset Park West,1
Bronxdale,Allerton/Pelham Gardens,3
SoHo,Mount Hope,5
Prospect Heights,NV,3
South Williamsburg,Central Harlem North,1
Upper East Side North,Cypress Hills,2
Ozone Park,Riverdale/North Riverdale/Fieldston,1
Canarsie,Clinton Hill,3
Prospect-Lefferts Gardens,Manhattan Valley,2
Williamsburg (North Side),Spuyten Duyvil/Kingsbridge,1
South Jamaica,East Harlem North,2
Saint George/New Brighton,Clinton East,1
Bedford,Springfield Gardens North,1
Yorkville East,Heartland Village/Todt Hill,1
East Elmhurst,Greenwich Village North,1
Lenox Hill West,Mariners Harbor,1
Upper East Side South,Bath Beach,4
Spuyten Duyvil/Kingsbridge,Parkchester,1
Saint Albans,Crown Heights North,1
Brooklyn Navy Yard,Ocean Hill,1
World Trade Center,Westchester Village/Unionport,2
Saint Michaels Cemetery/Woodside,Bedford,1
Marble Hill,Bronx Park,1
Williamsburg (South Side),Homecrest,1
Long Island City/Queens Plaza,Auburndale,1
Briarwood/Jamaica Hills,Alphabet City,1
Sheepshead Bay,East New York,1
West Village,West Village,8790
JFK Airport,Crown Heights North,2320
Clinton West,Midtown Center,3241
East Harlem South,Lenox Hill East,1272
Midtown North,Union Sq,5864
Briarwood/Jamaica Hills,Jamaica,27
Flatiron,Sunnyside,212
Midtown Center,Central Park,5120
Midtown South,Upper East Side South,4651
Upper East Side South,Steinway,468
Upper East Side South,Murray Hill,8791
Elmhurst/Maspeth,North Corona,38
LaGuardia Airport,Union Sq,2977
East Harlem South,Elmhurst,47
Stuy Town/Peter Cooper Village,Little Italy/NoLiTa,368
UN/Turtle Bay South,Financial District South,795
Jackson Heights,TriBeCa/Civic Center,14
Downtown Brooklyn/MetroTech,Prospect Park,22
Lincoln Square East,Belmont,18
Financial District South,East Harlem North,104
Little Italy/NoLiTa,Newark Airport,157
East Chelsea,Greenpoint,358
Upper East Side South,DUMBO/Vinegar Hill,145
Forest Hills,North Corona,10
East Elmhurst,Bushwick North,5
Central Harlem,UN/Turtle Bay South,83
Schuylerville/Edgewater Park,Soundview/Castle Hill,4
JFK Airport,Eastchester,86
Little Italy/NoLiTa,Stuyvesant Heights,234
World Trade Center,Stuy Town/Peter Cooper Village,218
Washington Heights North,Van Cortlandt Village,14
Alphabet City,Manhattanville,28
Van Nest/Morris Park,Chinatown,1
Murray Hill,Gravesend,13
Greenwich Village South,Carroll Gardens,275
World Trade Center,Kensington,32
Financial District North,Sunnyside,113
Melrose South,Mount Hope,10
Midtown South,Bloomingdale,243
Greenpoint,Little Italy/NoLiTa,28
Elmhurst/Maspeth,Forest Hills,20
Yorkville East,Cobble Hill,13
Sunset Park West,Upper East Side North,1
Soundview/Bruckner,Astoria,1
Financial District North,South Jamaica,3
Crown Heights North,East Village,17
Kips Bay,Flatlands,12
Union Sq,Whitestone,14
Flatiron,College Point,9
Williamsburg (South Side),Prospect Park,10
Midtown North,Parkchester,10
Meatpacking/West Village West,Morrisania/Melrose,4
Old Astoria,Bedford,2
Claremont/Bathgate,Claremont/Bathgate,22
Financial District South,Heartland Village/Todt Hill,10
Manhattan Valley,Williamsburg (North Side),21
Washington Heights North,Lenox Hill East,18
Sunnyside,Bayside,5
Clinton West,Far Rockaway,1
Financial District North,East Flatbush/Farragut,33
Yorkville East,Windsor Terrace,12
Crotona Park East,Mount Hope,2
Williamsburg (North Side),Borough Park,3
Upper West Side North,East Flatbush/Farragut,4
Upper East Side North,Crotona Park East,4
Soundview/Bruckner,East Concourse/Concourse Village,1
World Trade Center,Gravesend,9
NV,Battery Park,18
Meatpacking/West Village West,Canarsie,5
Astoria Park,Sutton Place/Turtle Bay North,5
Brooklyn Heights,Manhattan Valley,7
Financial District North,South Beach/Dongan Hills,5
Midtown Center,New Dorp/Midland Beach,5
Times Sq/Theatre District,Manhattan Beach,9
Rego Park,Seaport,2
Midwood,Sunset Park East,2
Midtown Center,Flushing Meadows-Corona Park,15
Midtown East,Fordham South,12
Kingsbridge Heights,Van Cortlandt Village,5
Red Hook,Sunset Park West,8
Starrett City,East Flatbush/Remsen Village,1
Yorkville West,College Point,4
Gowanus,Old Astoria,2
Williamsburg (North Side),Woodhaven,3
Stuyvesant Heights,Greenwich Village South,4
Baisley Park,Stuyvesant Heights,2
Financial District North,Mariners Harbor,3
Upper East Side North,Douglaston,6
Bedford,Elmhurst/Maspeth,2
Alphabet City,Schuylerville/Edgewater Park,2
North Corona,Flushing Meadows-Corona Park,3
Financial District South,Flushing Meadows-Corona Park,7
NV,Mariners Harbor,2
East Flatbush/Farragut,Kensington,1
Rego Park,Stuyvesant Heights,1
Union Sq,Rosedale,1
Flushing,Fresh Meadows,2
West Chelsea/Hudson Yards,Pelham Bay,2
Bensonhurst East,Flatbush/Ditmas Park,1
Baisley Park,Battery Park,1
Kew Gardens Hills,JFK Airport,3
Cambria Heights,Bushwick South,1
Manhattan Valley,Flushing Meadows-Corona Park,2
Elmhurst/Maspeth,Seaport,1
Meatpacking/West Village West,Springfield Gardens South,2
Elmhurst,Crotona Park East,1
NA,East Village,2
Newark Airport,Sutton Place/Turtle Bay North,1
Sutton Place/Turtle Bay North,Marine Park/Floyd Bennett Field,1
Upper East Side South,Bloomfield/Emerson Hill,1
Midtown South,Springfield Gardens North,2
East New York,Baisley Park,1
East Village,New Dorp/Midland Beach,2
Central Harlem North,Coney Island,1
Manhattanville,Long Island City/Hunters Point,2
Marble Hill,East Harlem South,1
Cypress Hills,Woodhaven,1
Downtown Brooklyn/MetroTech,Norwood,1
Bedford Park,Bronx Park,1
Chinatown,Hillcrest/Pomonok,3
Inwood,Hillcrest/Pomonok,1
Roosevelt Island,Bushwick North,1
Rego Park,Bay Ridge,1
East Harlem South,East Flatbush/Farragut,1
Two Bridges/Seward Park,SoHo,257
JFK Airport,Fresh Meadows,328
Lower East Side,Inwood,77
Murray Hill,Newark Airport,499
Lincoln Square East,East Harlem South,2283
Central Harlem,Central Harlem,4180
JFK Airport,Penn Station/Madison Sq West,2523
Garment District,Murray Hill,10257
Forest Hills,Midtown South,11
Midtown East,West Chelsea/Hudson Yards,5052
Clinton West,Meatpacking/West Village West,1106
Union Sq,Stuy Town/Peter Cooper Village,3404
Times Sq/Theatre District,Elmhurst,228
Sutton Place/Turtle Bay North,Central Park,1692
Clinton East,Highbridge,57
Sutton Place/Turtle Bay North,Financial District South,770
Central Harlem North,Washington Heights South,384
SoHo,West Chelsea/Hudson Yards,1590
Stuyvesant Heights,Sunset Park East,3
West Chelsea/Hudson Yards,West Village,3793
Sutton Place/Turtle Bay North,Central Harlem North,441
Kips Bay,Washington Heights North,123
Hudson Sq,Financial District North,691
Financial District North,Central Harlem North,138
World Trade Center,Yorkville West,265
Murray Hill,Spuyten Duyvil/Kingsbridge,64
West Chelsea/Hudson Yards,Gramercy,2130
UN/Turtle Bay South,Whitestone,13
Midtown South,Country Club,3
Greenwich Village South,Yorkville West,1033
Downtown Brooklyn/MetroTech,Carroll Gardens,146
Central Harlem,Whitestone,1
Elmhurst/Maspeth,Midtown North,2
World Trade Center,Central Harlem,66
Midtown East,Fort Greene,239
West Village,Columbia Street,81
Midtown North,Inwood,176
South Williamsburg,SoHo,2
Yorkville East,Kingsbridge Heights,17
Clinton Hill,Riverdale/North Riverdale/Fieldston,2
Upper East Side South,Cobble Hill,98
Long Island City/Hunters Point,Lower East Side,25
East Village,Pelham Parkway,32
Central Harlem North,Claremont/Bathgate,22
Murray Hill,East Concourse/Concourse Village,83
Steinway,Bloomingdale,12
West Chelsea/Hudson Yards,Gowanus,40
Alphabet City,Stuyvesant Heights,75
Greenwich Village South,Bath Beach,5
Flatbush/Ditmas Park,Sunset Park West,8
Greenpoint,SoHo,13
Williamsburg (South Side),Jamaica,2
Boerum Hill,Crown Heights South,59
Union Sq,Hunts Point,19
Woodside,Ridgewood,22
Hamilton Heights,Sunset Park East,2
Central Harlem North,Westchester Village/Unionport,11
Spuyten Duyvil/Kingsbridge,East Harlem North,2
Times Sq/Theatre District,East Tremont,38
Bloomingdale,Co-Op City,4
Financial District South,North Corona,5
Soundview/Bruckner,Bronxdale,1
Yorkville East,Fordham South,15
Central Harlem North,UN/Turtle Bay South,33
Old Astoria,South Jamaica,2
Lenox Hill West,Co-Op City,13
Meatpacking/West Village West,Woodlawn/Wakefield,5
TriBeCa/Civic Center,Queens Village,7
UN/Turtle Bay South,East Tremont,7
Greenpoint,Hamilton Heights,11
Lenox Hill East,West Farms/Bronx River,25
Greenpoint,East Elmhurst,1
Queensbridge/Ravenswood,Upper East Side North,28
Boerum Hill,Cypress Hills,4
UN/Turtle Bay South,Westchester Village/Unionport,7
Upper West Side South,Flatbush/Ditmas Park,22
Roosevelt Island,Upper West Side North,3
South Ozone Park,East Williamsburg,1
Flatiron,Midwood,10
Kips Bay,Westchester Village/Unionport,6
Flatbush/Ditmas Park,Seaport,1
NV,Downtown Brooklyn/MetroTech,35
Flushing Meadows-Corona Park,Meatpacking/West Village West,8
Park Slope,Woodside,10
LaGuardia Airport,Willets Point,6
West Chelsea/Hudson Yards,Middle Village,6
Upper East Side South,Flatlands,7
Bedford,NA,7
Brighton Beach,Coney Island,7
Baisley Park,Bushwick South,1
East Village,Co-Op City,10
Williamsburg (South Side),LaGuardia Airport,25
Financial District North,College Point,3
Chinatown,Cambria Heights,1
Prospect-Lefferts Gardens,NV,4
Roosevelt Island,Lower East Side,3
NV,Stuyvesant Heights,28
Prospect-Lefferts Gardens,Columbia Street,3
Fort Greene,Elmhurst,7
Midtown North,Homecrest,21
Forest Hills,College Point,3
Bloomingdale,Windsor Terrace,3
Kew Gardens,Old Astoria,1
East Harlem North,Briarwood/Jamaica Hills,3
Highbridge Park,Highbridge Park,2
SoHo,East Concourse/Concourse Village,8
West Village,Eltingville/Annadale/Prince's Bay,2
Greenpoint,UN/Turtle Bay South,17
Clinton East,Rosedale,5
Morrisania/Melrose,Ocean Hill,1
Washington Heights South,Flatlands,1
Midtown South,Laurelton,4
Woodside,Highbridge,2
West Village,Bloomfield/Emerson Hill,2
Hamilton Heights,SoHo,9
Saint Albans,East Harlem North,1
Times Sq/Theatre District,Laurelton,5
Allerton/Pelham Gardens,LaGuardia Airport,1
University Heights/Morris Heights,Hamilton Heights,3
Steinway,Manhattan Beach,1
Kew Gardens Hills,Williamsburg (North Side),1
Alphabet City,Murray Hill-Queens,1
Financial District North,East Tremont,4
Fort Greene,Queensboro Hill,1
Mott Haven/Port Morris,Midtown South,3
Flatiron,Auburndale,1
Red Hook,East Flatbush/Remsen Village,2
Little Italy/NoLiTa,Kingsbridge Heights,4
West Village,Rossville/Woodrow,1
Kensington,Washington Heights South,2
Ocean Parkway South,Sunset Park East,1
Gowanus,Seaport,3
West Village,Bronx Park,1
East Harlem North,Marine Park/Mill Basin,1
Ridgewood,Rego Park,2
Woodhaven,Maspeth,1
Westchester Village/Unionport,Claremont/Bathgate,1
Soundview/Bruckner,LaGuardia Airport,1
Yorkville East,Midwood,1
Melrose South,Williamsburg (North Side),1
East Concourse/Concourse Village,Riverdale/North Riverdale/Fieldston,1
Times Sq/Theatre District,Lincoln Square East,11676
Times Sq/Theatre District,Midtown East,13146
Union Sq,Kips Bay,8243
Sunnyside,Jackson Heights,622
Williamsburg (North Side),Bushwick South,486
Steinway,Astoria,833
Times Sq/Theatre District,Battery Park,540
West Chelsea/Hudson Yards,Lower East Side,996
Gowanus,Cypress Hills,1
Gramercy,LaGuardia Airport,1590
Central Park,Lenox Hill West,3383
Midtown North,UN/Turtle Bay South,3187
Clinton East,East Flatbush/Remsen Village,18
Astoria,Williamsburg (South Side),56
Carroll Gardens,Boerum Hill,388
Meatpacking/West Village West,LaGuardia Airport,488
Alphabet City,Steinway,47
Yorkville West,Jackson Heights,194
Greenwich Village South,Meatpacking/West Village West,3888
Bloomingdale,Sutton Place/Turtle Bay North,118
Stuy Town/Peter Cooper Village,Gramercy,2239
SoHo,Penn Station/Madison Sq West,2190
Fort Greene,Kips Bay,52
Meatpacking/West Village West,Battery Park,151
Lower East Side,Upper West Side South,796
Battery Park City,Lenox Hill West,559
Clinton East,Belmont,27
Greenwich Village South,Sutton Place/Turtle Bay North,1294
Two Bridges/Seward Park,Clinton East,231
Manhattan Valley,Sunset Park West,17
Williamsburg (South Side),Greenpoint,760
Times Sq/Theatre District,Flushing,89
JFK Airport,College Point,256
JFK Airport,Whitestone,331
Financial District North,Mott Haven/Port Morris,8
Williamsburg (South Side),Battery Park City,36
Battery Park City,Prospect-Lefferts Gardens,41
Brooklyn Heights,Columbia Street,164
Manhattanville,Bronx Park,2
Astoria,Crown Heights North,8
Corona,Jackson Heights,23
West Chelsea/Hudson Yards,Van Cortlandt Village,5
Long Island City/Hunters Point,Midtown South,81
Morningside Heights,Mount Hope,34
Williamsburg (South Side),Woodside,24
Bushwick North,Lower East Side,16
Sunnyside,Brooklyn Navy Yard,10
East Chelsea,Spuyten Duyvil/Kingsbridge,85
East Village,Flushing,77
Stuyvesant Heights,Woodhaven,2
West Farms/Bronx River,Mount Hope,3
Central Harlem North,Steinway,10
Crotona Park East,Crotona Park East,33
Upper West Side North,Parkchester,13
Bushwick South,Flushing,4
Little Italy/NoLiTa,Cypress Hills,8
Bushwick South,Sunnyside,15
Prospect Park,Brooklyn Heights,9
Long Island City/Queens Plaza,Bushwick South,22
Elmhurst,East New York,1
Prospect-Lefferts Gardens,Astoria,3
Central Harlem,Glendale,1
TriBeCa/Civic Center,Ocean Parkway South,21
Bushwick North,South Ozone Park,1
