src,dst,count,month,avg_fare
Two Bridges/Seward Park,Oakwood,1,1,72.38
University Heights/Morris Heights,Fordham South,6,1,9.05
University Heights/Morris Heights,Kingsbridge Heights,3,1,6.800000000000001
University Heights/Morris Heights,Schuylerville/Edgewater Park,1,1,22.3
Upper West Side North,Jamaica,4,1,63.535000000000004
Upper West Side South,Prospect-Lefferts Gardens,28,1,47.29749999999999
Van Cortlandt Park,Riverdale/North Riverdale/Fieldston,2,1,6.05
Van Nest/Morris Park,Van Cortlandt Village,1,1,20.8
West Chelsea/Hudson Yards,Midtown North,3770,1,13.213469496021263
West Concourse,Washington Heights North,10,1,15.824000000000003
West Farms/Bronx River,Hunts Point,2,1,12.58
Williamsburg (South Side),Greenwich Village South,118,1,16.604576271186442
Williamsburg (South Side),New Dorp/Midland Beach,1,1,57.88
Windsor Terrace,Upper East Side North,1,1,44.15
Windsor Terrace,Windsor Terrace,96,1,20.464895833333337
Woodside,Middle Village,30,1,13.916666666666666
Woodside,TriBeCa/Civic Center,41,1,39.56756097560976
World Trade Center,Little Italy/NoLiTa,1382,1,11.644131693198268
World Trade Center,Sunset Park West,52,1,26.48346153846154
Yorkville East,East Flushing,2,1,46.07
Yorkville East,Meatpacking/West Village West,162,1,28.031111111111105
Yorkville West,Brooklyn Navy Yard,8,1,36.745000000000005
Alphabet City,Roosevelt Island,12,1,26.188333333333336
Arrochar/Fort Wadsworth,Saint George/New Brighton,1,1,20.16
Astoria,Greenpoint,118,1,16.875677966101698
Astoria,Soundview/Castle Hill,1,1,33.3
Battery Park,Brownsville,2,1,30.05
Battery Park,Canarsie,1,1,35.0
Battery Park City,Fort Greene,115,1,23.614608695652173
Battery Park City,Yorkville East,267,1,31.41741573033707
Bedford,Financial District North,5,1,25.266
Bedford,Schuylerville/Edgewater Park,1,1,58.3
Bloomingdale,Stuy Town/Peter Cooper Village,14,1,26.92071428571429
Bloomingdale,Sunnyside,29,1,30.285172413793102
Boerum Hill,Corona,4,1,35.707499999999996
Brooklyn Heights,Queens Village,1,1,64.52
Bushwick North,Astoria,13,1,28.74538461538462
Bushwick North,Central Harlem,3,1,52.366666666666674
Bushwick South,Park Slope,44,1,25.28727272727273
Carroll Gardens,Borough Park,9,1,21.353333333333335
Carroll Gardens,Madison,2,1,42.55
Carroll Gardens,Midtown South,44,1,33.348636363636366
Central Harlem,Crown Heights North,17,1,51.50941176470588
Central Park,Fordham South,1,1,31.3
Chinatown,Battery Park City,588,1,11.831071428571418
Claremont/Bathgate,Woodlawn/Wakefield,1,1,23.8
Cobble Hill,Sheepshead Bay,1,1,51.35
Crown Heights North,Clinton East,14,1,32.63785714285714
Crown Heights South,Canarsie,5,1,20.220000000000002
Crown Heights South,Queensbridge/Ravenswood,1,1,29.3
Cypress Hills,Financial District South,1,1,52.8
DUMBO/Vinegar Hill,DUMBO/Vinegar Hill,109,1,10.978715596330279
Downtown Brooklyn/MetroTech,Little Italy/NoLiTa,300,1,11.663900000000002
East Flatbush/Farragut,Brownsville,2,1,19.55
East Flatbush/Remsen Village,JFK Airport,1,1,40.8
East Harlem North,Brooklyn Navy Yard,14,1,38.00214285714286
East Harlem North,Clinton Hill,7,1,44.28857142857142
East Harlem South,East Flatbush/Remsen Village,2,1,57.57
East Harlem South,East Harlem South,6540,1,7.53097400611629
East Tremont,Bronxdale,1,1,11.3
East Village,Mount Hope,21,1,38.59904761904762
East Williamsburg,DUMBO/Vinegar Hill,16,1,14.633125000000003
East Williamsburg,Springfield Gardens South,2,1,41.3
Eastchester,Pelham Bay,2,1,10.8
Elmhurst,Jamaica Estates,4,1,21.807499999999997
Elmhurst/Maspeth,South Williamsburg,2,1,23.05
Financial District North,Financial District North,1685,1,11.77931750741842
Financial District South,Lincoln Square West,203,1,27.17837438423645
Financial District South,Marine Park/Mill Basin,12,1,56.79
Flushing,Clinton East,4,1,57.3925
Flushing,UN/Turtle Bay South,2,1,43.34
Flushing Meadows-Corona Park,World Trade Center,7,1,66.93285714285715
Forest Hills,Auburndale,3,1,24.820000000000004
Forest Hills,Murray Hill,37,1,32.61567567567569
Garment District,Douglaston,5,1,68.26
Gramercy,Manhattanville,105,1,30.99419047619048
Gramercy,Steinway,336,1,29.14913690476189
Gramercy,Sunset Park West,109,1,34.68532110091743
Gravesend,East Chelsea,1,1,13.5
Greenwich Village North,Heartland Village/Todt Hill,2,1,58.63
Greenwich Village South,Kensington,65,1,31.118000000000002
Greenwich Village South,Woodlawn/Wakefield,12,1,49.520833333333336
Hamilton Heights,East Tremont,9,1,22.633333333333336
Hudson Sq,Yorkville East,166,1,27.614879518072286
Hunts Point,East Harlem South,3,1,16.366666666666667
Inwood,Windsor Terrace,1,1,70.61
JFK Airport,Van Nest/Morris Park,104,1,61.68509615384616
Jackson Heights,Battery Park City,5,1,45.788
Jackson Heights,Laurelton,1,1,36.8
Jamaica,Canarsie,1,1,37.56
Jamaica,Flatiron,5,1,72.786
Kew Gardens Hills,Bayside,1,1,16.8
LaGuardia Airport,Prospect Park,56,1,46.78571428571429
LaGuardia Airport,Soundview/Castle Hill,101,1,38.36524752475249
Lenox Hill East,Midtown Center,5368,1,13.548435171385945
Lenox Hill East,Queensbridge/Ravenswood,103,1,15.663980582524276
Lenox Hill East,Springfield Gardens North,3,1,52.99333333333334
Lenox Hill West,Elmhurst,170,1,23.34270588235294
Lincoln Square East,Garment District,2939,1,11.274494726097362
Lincoln Square West,Central Harlem,772,1,16.013018134715015
Lincoln Square West,Lincoln Square West,6726,1,7.370872732679225
Long Island City/Hunters Point,Longwood,1,1,27.8
Long Island City/Hunters Point,Meatpacking/West Village West,25,1,46.606
Long Island City/Hunters Point,Mott Haven/Port Morris,3,1,22.46666666666667
Meatpacking/West Village West,Boerum Hill,196,1,22.815561224489787
Midtown Center,Cobble Hill,212,1,32.512594339622645
Morningside Heights,Gowanus,3,1,51.47333333333333
Morningside Heights,Upper East Side North,1900,1,14.769900000000037
Murray Hill,Flatlands,18,1,48.03666666666666
Murray Hill-Queens,Bellerose,1,1,23.15
Ocean Hill,Briarwood/Jamaica Hills,1,1,28.3
Ocean Parkway South,Sheepshead Bay,1,1,15.8
Park Slope,Central Park,19,1,32.77
Penn Station/Madison Sq West,Long Island City/Hunters Point,546,1,24.628131868131867
Prospect Heights,Bayside,1,1,59.1
Queensbridge/Ravenswood,Prospect-Lefferts Gardens,1,1,27.3
Randalls Island,Times Sq/Theatre District,11,1,64.75727272727273
Roosevelt Island,Greenpoint,3,1,14.133333333333335
SoHo,South Williamsburg,28,1,17.573571428571427
South Jamaica,Richmond Hill,1,1,7.8
South Williamsburg,Bushwick South,44,1,11.549999999999999
Spuyten Duyvil/Kingsbridge,Westchester Village/Unionport,1,1,25.56
Steinway,Clinton Hill,3,1,42.03333333333333
Steinway,SoHo,2,1,23.07
Stuyvesant Heights,Times Sq/Theatre District,1,1,44.62
Sunnyside,Corona,62,1,18.57387096774194
Sunnyside,Financial District North,72,1,37.39611111111112
Sunnyside,Pelham Parkway,2,1,40.8
Sunset Park West,Downtown Brooklyn/MetroTech,14,1,18.912857142857145
Sutton Place/Turtle Bay North,Brooklyn Navy Yard,4,1,27.175
Sutton Place/Turtle Bay North,Parkchester,13,1,34.96153846153846
Times Sq/Theatre District,Elmhurst/Maspeth,94,1,26.461489361702135
Two Bridges/Seward Park,Allerton/Pelham Gardens,1,1,59.8
Two Bridges/Seward Park,Mott Haven/Port Morris,18,1,28.98
Union Sq,Breezy Point/Fort Tilden/Riis Beach,3,1,119.04333333333334
Union Sq,Ocean Hill,38,1,36.92421052631579
Upper West Side North,West Village,467,1,23.45582441113489
Upper West Side South,West Concourse,93,1,25.053440860215062
Washington Heights North,Highbridge,29,1,9.56
Washington Heights North,Norwood,4,1,21.2975
Washington Heights South,Yorkville East,23,1,26.239565217391306
West Chelsea/Hudson Yards,Kew Gardens Hills,9,1,48.59777777777778
West Chelsea/Hudson Yards,Murray Hill,3757,1,13.41072398190049
West Concourse,Penn Station/Madison Sq West,2,1,32.8
West Concourse,Seaport,2,1,33.8
West Village,East Elmhurst,15,1,40.65866666666667
Whitestone,NA,12,1,141.39833333333334
Williamsburg (North Side),Homecrest,3,1,37.96666666666666
World Trade Center,Clinton West,441,1,20.198412698412685
World Trade Center,Madison,10,1,38.395
Yorkville East,Garment District,736,1,19.48135869565217
Yorkville West,Marine Park/Mill Basin,2,1,89.775
Yorkville West,Morrisania/Melrose,46,1,20.715217391304346
Alphabet City,East Flushing,2,1,47.83
Alphabet City,Jamaica,2,1,50.125
Alphabet City,Melrose South,11,1,30.84181818181818
Alphabet City,Union Sq,939,1,11.93549520766772
Astoria,Bensonhurst East,1,1,64.8
Astoria,Country Club,1,1,44.8
Astoria Park,Sunnyside,6,1,16.508333333333333
Battery Park,Midtown Center,116,1,25.835086206896555
Battery Park,Steinway,1,1,43.0
Battery Park City,Springfield Gardens South,1,1,78.54
Bensonhurst West,Gravesend,2,1,11.59
Bensonhurst West,NV,2,1,32.55
Briarwood/Jamaica Hills,Rosedale,1,1,35.3
Brighton Beach,Borough Park,1,1,20.3
Brooklyn Heights,Ocean Hill,7,1,22.38
Brooklyn Heights,Sunset Park East,22,1,19.553636363636368
Bushwick South,Gramercy,12,1,23.764999999999997
Central Park,Inwood Hill Park,4,1,32.965
Central Park,Upper East Side North,9437,1,9.291138073540214
Chinatown,Upper East Side South,159,1,25.620691823899367
Clinton East,Hammels/Arverne,5,1,74.69200000000001
Clinton East,Murray Hill-Queens,16,1,49.94
Clinton Hill,Lincoln Square East,5,1,42.874
Clinton West,Country Club,2,1,56.3
Columbia Street,Garment District,2,1,27.3
Corona,Central Harlem North,2,1,42.995000000000005
Crown Heights North,Park Slope,85,1,13.019176470588237
Crown Heights South,Gowanus,2,1,14.275
Cypress Hills,Springfield Gardens South,2,1,18.3
Downtown Brooklyn/MetroTech,Old Astoria,8,1,33.05499999999999
Downtown Brooklyn/MetroTech,Penn Station/Madison Sq West,108,1,21.67064814814815
East Chelsea,Battery Park City,3196,1,15.41228723404261
East Chelsea,Brooklyn Heights,401,1,24.506334164588523
East Chelsea,Financial District North,1766,1,18.88697621744059
East Chelsea,Union Sq,12554,1,9.438225266847063
East Concourse/Concourse Village,Central Harlem North,27,1,9.433333333333334
East Elmhurst,Upper West Side South,5,1,48.456
East Harlem North,Lincoln Square East,297,1,19.437878787878777
East Harlem South,Jamaica Estates,6,1,47.62833333333333
East Tremont,Mount Hope,9,1,9.35
Financial District South,College Point,5,1,61.794
Financial District South,Mariners Harbor,1,1,74.38
Financial District South,Queensbridge/Ravenswood,3,1,33.63333333333333
Flatbush/Ditmas Park,Middle Village,1,1,36.8
Forest Park/Highland Park,Long Island City/Hunters Point,1,1,27.8
Fort Greene,Dyker Heights,8,1,30.259999999999998
Gowanus,Steinway,4,1,41.16499999999999
Gowanus,Two Bridges/Seward Park,3,1,23.356666666666666
Gramercy,South Beach/Dongan Hills,1,1,57.38
Greenpoint,Downtown Brooklyn/MetroTech,24,1,17.417083333333334
Greenwich Village North,Richmond Hill,3,1,45.133333333333326
Greenwich Village North,Woodside,78,1,28.983974358974365
Hamilton Heights,Lenox Hill East,43,1,25.482558139534884
Hamilton Heights,Little Italy/NoLiTa,14,1,35.501428571428576
JFK Airport,Saint George/New Brighton,57,1,88.54789473684211
Jackson Heights,Bushwick North,7,1,20.428571428571427
Kew Gardens,Murray Hill,1,1,69.99
Kips Bay,Lower East Side,2092,1,13.18405831739966
Kips Bay,NA,56,1,85.63821428571428
LaGuardia Airport,Battery Park City,2039,1,58.61164786660127
LaGuardia Airport,Bellerose,70,1,37.34571428571429
LaGuardia Airport,Flushing Meadows-Corona Park,144,1,19.23895833333334
Lenox Hill East,East Elmhurst,22,1,38.11318181818182
Lenox Hill West,Alphabet City,384,1,18.070989583333326
Lenox Hill West,Forest Hills,172,1,33.3513953488372
Long Island City/Queens Plaza,Battery Park,2,1,28.05
Long Island City/Queens Plaza,Meatpacking/West Village West,14,1,28.46
Lower East Side,Bay Ridge,172,1,37.9217441860465
Lower East Side,Central Park,317,1,24.467003154574122
Lower East Side,Clinton West,737,1,21.33875169606513
Lower East Side,Prospect Heights,422,1,20.38144549763032
Manhattanville,Spuyten Duyvil/Kingsbridge,23,1,22.989565217391306
Maspeth,Kips Bay,2,1,48.4
Midtown East,Cypress Hills,5,1,53.43599999999999
Midtown North,Belmont,9,1,43.31111111111111
Midtown North,Lincoln Square West,5756,1,10.085512508686604
Morrisania/Melrose,Fordham South,1,1,16.8
Morrisania/Melrose,Highbridge,6,1,10.550000000000002
Newark Airport,Times Sq/Theatre District,1,1,79.55
Old Astoria,East Flushing,2,1,24.8
Old Astoria,Gramercy,44,1,22.87454545454545
Old Astoria,Hunts Point,1,1,23.84
Old Astoria,Richmond Hill,2,1,31.549999999999997
Park Slope,Prospect-Lefferts Gardens,241,1,13.420788381742742
Pelham Bay Park,East Harlem North,1,1,42.3
Penn Station/Madison Sq West,Rosedale,4,1,62.2475
Prospect Heights,Times Sq/Theatre District,10,1,29.644000000000005
Queens Village,Briarwood/Jamaica Hills,1,1,24.8
Rego Park,Garment District,3,1,48.85333333333333
Seaport,Far Rockaway,1,1,78.38
Seaport,Penn Station/Madison Sq West,285,1,20.385789473684202
SoHo,Springfield Gardens North,1,1,57.3
South Ozone Park,Alphabet City,2,1,85.19
South Ozone Park,Jamaica,5,1,14.469999999999999
Steinway,Pelham Parkway,2,1,40.84
Steinway,Rego Park,3,1,22.493333333333336
Steinway,Ridgewood,5,1,21.04
Stuy Town/Peter Cooper Village,Midwood,2,1,37.8
Sunnyside,Clinton Hill,38,1,21.449473684210524
Sunnyside,Lincoln Square West,39,1,25.16589743589744
Sunnyside,Upper East Side North,313,1,20.026421725239604
Times Sq/Theatre District,Breezy Point/Fort Tilden/Riis Beach,3,1,95.8
Union Sq,Carroll Gardens,439,1,27.97476082004555
University Heights/Morris Heights,Crotona Park East,1,1,15.8
Upper East Side North,Little Italy/NoLiTa,541,1,26.89597042513863
Upper East Side North,Long Island City/Queens Plaza,88,1,19.665454545454544
Upper East Side North,Queensbridge/Ravenswood,25,1,20.7788
Upper East Side South,East Elmhurst,37,1,30.608378378378383
Upper West Side North,Ocean Hill,1,1,36.8
Upper West Side North,Yorkville West,4630,1,11.652676025917973
Upper West Side South,Jackson Heights,93,1,30.690107526881718
Van Cortlandt Village,Inwood,3,1,6.966666666666668
Washington Heights North,Hamilton Heights,65,1,13.173538461538463
Washington Heights North,Times Sq/Theatre District,19,1,30.482105263157894
West Chelsea/Hudson Yards,Rego Park,17,1,39.61705882352942
Yorkville East,Highbridge Park,4,1,18.1375
Alphabet City,Bedford Park,5,1,42.14
Astoria,Battery Park City,26,1,38.35269230769231
Astoria,Clinton West,58,1,20.715
Auburndale,Douglaston,1,1,12.3
Baisley Park,Cobble Hill,1,1,63.55
Battery Park,Boerum Hill,12,1,19.415833333333335
Battery Park,Highbridge,1,1,37.3
Battery Park City,South Beach/Dongan Hills,7,1,61.23571428571429
Bay Ridge,Charleston/Tottenville,1,1,92.38
Bedford,Bay Ridge,1,1,33.2
Bedford,Yorkville West,2,1,49.26
Bloomingdale,Rego Park,1,1,37.8
Boerum Hill,Elmhurst/Maspeth,1,1,26.3
Bronx Park,Central Park,1,1,38.76
Brooklyn Heights,Kips Bay,81,1,22.8720987654321
Brooklyn Heights,Prospect-Lefferts Gardens,26,1,20.31269230769231
Brooklyn Navy Yard,Morningside Heights,1,1,40.8
Bushwick North,Upper East Side North,2,1,31.89
Bushwick North,Woodside,8,1,18.34
Bushwick South,Whitestone,1,1,46.3
Carroll Gardens,Bushwick North,15,1,27.070666666666668
Carroll Gardens,Bushwick South,22,1,24.786818181818184
Carroll Gardens,Garment District,19,1,31.415263157894735
Central Harlem,Park Slope,6,1,53.51833333333334
Central Harlem North,Fresh Meadows,1,1,47.8
Central Harlem North,Stuyvesant Heights,8,1,52.487500000000004
Chinatown,Sunset Park West,28,1,26.837142857142858
Clinton East,Crown Heights North,235,1,39.060680851063815
Clinton East,Glen Oaks,2,1,57.09
Clinton East,Midtown East,8772,1,10.625338577291249
Clinton Hill,Bensonhurst West,3,1,32.46666666666666
Clinton Hill,Marine Park/Mill Basin,1,1,19.8
Clinton West,Baisley Park,4,1,59.3475
Co-Op City,Co-Op City,31,1,17.50516129032258
Columbia Street,Brooklyn Navy Yard,1,1,15.95
Columbia Street,Kensington,4,1,15.755
Corona,Times Sq/Theatre District,12,1,64.51083333333334
Crown Heights South,West Village,3,1,31.786666666666665
Downtown Brooklyn/MetroTech,Midwood,9,1,33.833333333333336
Downtown Brooklyn/MetroTech,University Heights/Morris Heights,1,1,44.3
East Chelsea,NV,273,1,12.57666666666667
East Chelsea,Stuyvesant Heights,157,1,32.68777070063693
East Harlem North,Morrisania/Melrose,96,1,14.950312500000004
East Village,Midtown North,2190,1,18.000228310502344
East Williamsburg,Times Sq/Theatre District,10,1,26.925
Elmhurst/Maspeth,East Flushing,2,1,27.09
Elmhurst/Maspeth,East Village,8,1,28.332500000000003
Elmhurst/Maspeth,Steinway,19,1,13.517368421052634
Financial District South,Yorkville East,288,1,28.31263888888888
Flatbush/Ditmas Park,Erasmus,30,1,8.206666666666667
Flatbush/Ditmas Park,Hammels/Arverne,2,1,65.835
Fordham South,Fordham South,15,1,32.57933333333333
Garment District,College Point,16,1,50.933125000000004
Garment District,Heartland Village/Todt Hill,3,1,76.52999999999999
Garment District,Madison,19,1,53.85631578947369
Garment District,Williamsbridge/Olinville,22,1,47.495000000000005
Gramercy,Bath Beach,4,1,46.05
Gramercy,Garment District,3451,1,12.783091857432687
Gramercy,Morrisania/Melrose,25,1,33.704
Gramercy,Pelham Bay Park,2,1,46.05
Greenpoint,Midtown South,16,1,24.741874999999997
Greenwich Village North,Jackson Heights,122,1,32.3127868852459
Greenwich Village North,Newark Airport,174,1,85.95959770114942
Greenwich Village North,Yorkville West,723,1,21.933651452282167
Greenwich Village South,East Chelsea,3985,1,12.138592220828151
Greenwich Village South,Erasmus,27,1,31.8
Hamilton Heights,East Chelsea,134,1,26.02179104477612
Hamilton Heights,East Harlem North,470,1,13.210404255319133
Hudson Sq,Schuylerville/Edgewater Park,2,1,51.15
Inwood,Soundview/Bruckner,1,1,20.8
Inwood,University Heights/Morris Heights,9,1,12.528888888888888
Jackson Heights,East Chelsea,6,1,35.465
LaGuardia Airport,Lower East Side,1201,1,41.29094920899256
Lenox Hill East,Arden Heights,1,1,102.88
Lenox Hill West,Bushwick North,44,1,32.544318181818184
Lenox Hill West,Lincoln Square West,1881,1,13.660143540669889
Lincoln Square East,Clinton West,5230,1,9.052720841300259
Lincoln Square East,Sunset Park West,34,1,45.311470588235295
Long Island City/Queens Plaza,Longwood,2,1,28.57
Long Island City/Queens Plaza,Washington Heights South,45,1,33.15444444444445
Longwood,West Farms/Bronx River,3,1,10.3
Lower East Side,Bushwick South,1419,1,19.083248766737174
Lower East Side,Far Rockaway,2,1,59.8
Manhattan Valley,Hamilton Heights,1055,1,13.283251184834114
Manhattanville,Fort Greene,5,1,54.198
Maspeth,Clinton East,7,1,64.44000000000001
Meatpacking/West Village West,Corona,12,1,39.248333333333335
Meatpacking/West Village West,NA,155,1,76.35987096774191
Midtown Center,Brownsville,9,1,48.07222222222222
Midtown Center,Glen Oaks,6,1,61.208333333333336
Midtown East,Flushing Meadows-Corona Park,11,1,45.31454545454546
Midtown East,Soundview/Castle Hill,23,1,36.60739130434783
Midtown East,South Ozone Park,36,1,56.46694444444446
Midtown South,Schuylerville/Edgewater Park,18,1,42.42611111111111
Morningside Heights,Manhattan Beach,2,1,78.05
Morningside Heights,Springfield Gardens North,1,1,54.34
Murray Hill,Crown Heights North,239,1,35.058033472803345
Murray Hill,Hollis,1,1,62.75
Murray Hill,TriBeCa/Civic Center,3867,1,19.114339281096402
Park Slope,Bushwick North,56,1,23.83892857142857
Penn Station/Madison Sq West,Melrose South,44,1,31.90068181818182
Randalls Island,Kips Bay,1,1,69.99
Roosevelt Island,Washington Heights South,1,1,29.8
Saint Albans,Hollis,1,1,8.91
Seaport,Morningside Heights,19,1,35.932105263157894
Seaport,Sunset Park East,20,1,26.6175
SoHo,Crown Heights North,170,1,26.018941176470584
SoHo,Long Island City/Hunters Point,93,1,28.307096774193553
Soundview/Castle Hill,Woodlawn/Wakefield,1,1,26.57
South Beach/Dongan Hills,South Beach/Dongan Hills,4,1,54.322500000000005
South Jamaica,Upper West Side South,12,1,66.11833333333333
Springfield Gardens South,East Harlem South,5,1,62.64000000000001
Springfield Gardens South,Garment District,2,1,72.69
Springfield Gardens South,Greenwich Village North,4,1,63.0125
Springfield Gardens South,Lincoln Square East,2,1,89.91
Steinway,Schuylerville/Edgewater Park,1,1,30.84
Sunnyside,Hudson Sq,26,1,36.424615384615386
Times Sq/Theatre District,Howard Beach,20,1,56.2245
Times Sq/Theatre District,Two Bridges/Seward Park,680,1,20.764044117647053
TriBeCa/Civic Center,Kips Bay,1487,1,18.46539340954946
TriBeCa/Civic Center,Manhattan Beach,5,1,53.538
TriBeCa/Civic Center,Washington Heights North,169,1,41.43633136094673
Two Bridges/Seward Park,Central Park,51,1,25.860980392156865
Two Bridges/Seward Park,Fordham South,8,1,37.05
Union Sq,Claremont/Bathgate,4,1,34.55
Union Sq,Upper West Side South,2720,1,20.432768382352968
Union Sq,Washington Heights South,521,1,34.61919385796547
Upper East Side North,SoHo,491,1,27.4748065173116
Upper West Side North,Bloomingdale,4474,1,7.553066607063085
Upper West Side North,Garment District,785,1,17.324394904458593
Upper West Side North,Melrose South,78,1,20.834743589743592
Upper West Side South,Queens Village,2,1,55.05
West Chelsea/Hudson Yards,Canarsie,8,1,61.91875
West Concourse,Mott Haven/Port Morris,81,1,8.787037037037036
Williamsburg (South Side),Flatlands,2,1,28.075000000000003
Williamsburg (South Side),Madison,1,1,39.3
Woodhaven,Woodhaven,39,1,15.168205128205127
World Trade Center,Astoria,91,1,38.01252747252747
World Trade Center,Auburndale,3,1,51.086666666666666
World Trade Center,Belmont,6,1,49.333333333333336
World Trade Center,Flatlands,24,1,38.93416666666666
World Trade Center,Prospect Park,9,1,27.775555555555556
World Trade Center,Red Hook,50,1,23.6558
Yorkville East,West Chelsea/Hudson Yards,385,1,24.329896103896093
Yorkville West,Highbridge Park,5,1,24.032
Yorkville West,Hollis,1,1,56.84
Yorkville West,West Concourse,75,1,18.270800000000005
Alphabet City,Woodside,22,1,27.780909090909095
Astoria,Corona,58,1,21.162068965517243
Astoria,Times Sq/Theatre District,97,1,19.992371134020622
Battery Park,Madison,1,1,39.3
Battery Park City,Hammels/Arverne,1,1,82.42
Battery Park City,Homecrest,10,1,43.54200000000001
Bay Ridge,Battery Park City,1,1,19.8
Bay Terrace/Fort Totten,East Elmhurst,1,1,20.8
Bayside,Queensboro Hill,1,1,24.1
Bensonhurst East,Ocean Parkway South,1,1,15.8
Boerum Hill,Prospect-Lefferts Gardens,77,1,16.204415584415585
Brighton Beach,Crown Heights North,1,1,30.0
Brooklyn Heights,Long Island City/Queens Plaza,2,1,23.05
Brownsville,Carroll Gardens,1,1,24.3
Central Park,East New York,9,1,42.13333333333333
Chinatown,Cypress Hills,4,1,33.05
Chinatown,Hammels/Arverne,1,1,80.3
Chinatown,Sutton Place/Turtle Bay North,193,1,21.516943005181346
Clinton Hill,Auburndale,1,1,40.3
Clinton Hill,Sutton Place/Turtle Bay North,4,1,28.5125
Cobble Hill,Midtown North,43,1,32.094883720930234
Cobble Hill,Windsor Terrace,18,1,15.874444444444444
Crotona Park East,Bedford Park,1,1,15.3
Downtown Brooklyn/MetroTech,Bedford,209,1,13.609425837320577
Downtown Brooklyn/MetroTech,Jamaica Estates,1,1,45.96
Downtown Brooklyn/MetroTech,Long Island City/Hunters Point,22,1,22.809545454545454
Downtown Brooklyn/MetroTech,TriBeCa/Civic Center,524,1,12.117232824427472
East Chelsea,Middle Village,31,1,37.57354838709677
East Elmhurst,Elmhurst,48,1,10.676875
East Harlem South,South Ozone Park,7,1,58.14142857142857
East Williamsburg,UN/Turtle Bay South,13,1,24.66769230769231
Elmhurst,Saint Albans,2,1,28.55
Financial District North,Co-Op City,2,1,51.65
Financial District North,Springfield Gardens North,1,1,64.3
Flatiron,Bensonhurst West,22,1,49.070454545454545
Flatiron,Ocean Parkway South,9,1,44.67444444444444
Flushing,Jackson Heights,23,1,15.01608695652174
Flushing,Marine Park/Mill Basin,1,1,44.8
Forest Hills,Rego Park,87,1,8.201954022988504
Garment District,Central Harlem North,507,1,25.100295857988154
Garment District,Clinton West,4832,1,9.81790769867555
Glendale,Sunnyside,1,1,20.3
Greenwich Village North,Bay Ridge,107,1,37.772803738317755
Greenwich Village North,Hamilton Heights,188,1,33.55781914893616
Greenwich Village South,Bedford Park,24,1,46.65416666666667
Greenwich Village South,Upper West Side South,1080,1,23.798888888888925
Hamilton Heights,Bushwick North,3,1,52.043333333333344
Hamilton Heights,Central Harlem,802,1,10.876683291770556
Hamilton Heights,West Village,34,1,29.512058823529415
Highbridge,Meatpacking/West Village West,1,1,28.3
Hudson Sq,East New York/Pennsylvania Avenue,2,1,37.519999999999996
JFK Airport,Williamsbridge/Olinville,137,1,66.80875912408757
Jamaica Estates,Jackson Heights,1,1,34.3
Kips Bay,Greenwich Village North,2484,1,11.048421900161065
LaGuardia Airport,Stuy Town/Peter Cooper Village,869,1,44.425097813578866
Lenox Hill West,Central Harlem North,549,1,18.446630236794153
Lenox Hill West,Central Park,3356,1,10.497076877234859
Lenox Hill West,Jamaica,13,1,46.14769230769231
Lincoln Square East,Fordham South,5,1,36.9
Lincoln Square West,Gowanus,12,1,42.300000000000004
Little Italy/NoLiTa,Columbia Street,73,1,19.080000000000002
Little Italy/NoLiTa,East Village,7789,1,8.945324175118717
Long Island City/Queens Plaza,Yorkville East,76,1,14.287105263157894
Lower East Side,Flushing,39,1,41.53307692307692
Lower East Side,Mount Hope,22,1,39.566818181818185
Maspeth,Lenox Hill West,1,1,70.01
Maspeth,Union Sq,2,1,73.445
Maspeth,Upper West Side South,1,1,59.8
Meatpacking/West Village West,Battery Park City,3317,1,11.12239674404587
Meatpacking/West Village West,Bedford,129,1,27.007751937984494
Meatpacking/West Village West,Bloomingdale,141,1,23.822269503546103
Melrose South,Mott Haven/Port Morris,67,1,9.025820895522386
Midtown North,Country Club,6,1,44.33166666666667
Midtown North,Downtown Brooklyn/MetroTech,167,1,30.75748502994011
Morningside Heights,Upper East Side South,870,1,18.755781609195402
Murray Hill,Forest Park/Highland Park,2,1,37.57
Murray Hill,West Concourse,34,1,28.37294117647059
NA,World Trade Center,2,1,132.275
NV,Bronxdale,5,1,47.732
NV,Homecrest,14,1,24.954285714285714
NV,Kensington,6,1,36.38333333333333
Park Slope,Washington Heights South,9,1,55.15777777777778
Pelham Parkway,Co-Op City,1,1,8.8
Penn Station/Madison Sq West,Co-Op City,26,1,57.04846153846153
Penn Station/Madison Sq West,Spuyten Duyvil/Kingsbridge,109,1,43.81440366972478
Prospect Heights,Lenox Hill West,5,1,35.706
Prospect Heights,UN/Turtle Bay South,6,1,31.411666666666672
Prospect-Lefferts Gardens,Boerum Hill,28,1,16.14357142857143
Queensbridge/Ravenswood,Morningside Heights,12,1,23.675
Randalls Island,Bloomingdale,4,1,70.66499999999999
Red Hook,Greenwich Village North,5,1,18.77
Rego Park,Mott Haven/Port Morris,2,1,43.365
Rego Park,Murray Hill,10,1,35.959999999999994
Schuylerville/Edgewater Park,Claremont/Bathgate,1,1,16.8
Seaport,Corona,2,1,45.394999999999996
Seaport,Hillcrest/Pomonok,1,1,45.8
Sheepshead Bay,Sheepshead Bay,41,1,19.662439024390242
SoHo,Kips Bay,797,1,14.526963613550802
SoHo,Pelham Parkway,2,1,56.45
